PRODUCT_CODE;PRODUCT_GRAND_FAMILY_CODE;PRODUCT_GRAND_FAMILY_NAME;PRODUCT_FAMILY_CODE;PRODUCT_FAMILY_NAME
573;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
574;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
580;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
581;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
582;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
584;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
585;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
586;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
587;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
588;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
589;GF02;Produits Station Lavage;FA26;Transactions Station Lavage
600;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
601;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
602;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
603;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
604;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
605;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
606;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
607;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
608;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
609;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
610;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
611;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
612;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
613;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
614;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
615;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
616;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
617;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
618;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
622;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
624;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
626;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
627;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
629;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
710;GF04;Produits Hors Station;FA16;Tr Péages
711;GF04;Produits Hors Station;FA16;Tr Péages
712;GF05;Frais de services;FA03;Abonnements
713;GF04;Produits Hors Station;FA05;Tr Autres tiers - Ristournes et commissions 
714;GF04;Produits Hors Station;FA05;Tr Autres tiers - Ristournes et commissions 
715;GF07;Caution et Garantie;FA15;CA Tr Autres tiers - Caution/Garantie
716;GF04;Produits Hors Station;FA04;Tr Autres tiers - Services Assistance 24/24
717;GF04;Produits Hors Station;FA16;Tr Péages
718;GF04;Produits Hors Station;FA16;Tr Péages
719;GF04;Produits Hors Station;FA17;Tr Parkings
720;GF04;Produits Hors Station;FA18;Tr Autres tiers - CA C.H.R.
721;GF05;Frais de services;FA22;Frais à l acte
722;GF07;Caution et Garantie;FA15;CA Tr Autres tiers - Caution/Garantie
723;GF05;Frais de services;FA22;Frais à l acte
724;GF05;Frais de services;FA22;Frais à l acte
725;GF04;Produits Hors Station;FA16;Tr Péages
726;GF05;Frais de services;FA22;Frais à l acte
728;GF04;Produits Hors Station;FA16;Tr Péages
729;GF04;Produits Hors Station;FA16;Tr Péages
730;GF04;Produits Hors Station;FA16;Tr Péages
731;GF04;Produits Hors Station;FA16;Tr Péages
869;GF04;Produits Hors Station;FA16;Tr Péages
870;GF04;Produits Hors Station;FA16;Tr Péages
871;GF04;Produits Hors Station;FA16;Tr Péages
872;GF04;Produits Hors Station;FA17;Tr Parkings
877;GF04;Produits Hors Station;FA16;Tr Péages
878;GF04;Produits Hors Station;FA16;Tr Péages
879;GF04;Produits Hors Station;FA16;Tr Péages
880;GF04;Produits Hors Station;FA16;Tr Péages
881;GF04;Produits Hors Station;FA16;Tr Péages
887;GF04;Produits Hors Station;FA16;Tr Péages
888;GF04;Produits Hors Station;FA16;Tr Péages
889;GF04;Produits Hors Station;FA16;Tr Péages
890;GF04;Produits Hors Station;FA16;Tr Péages
891;GF04;Produits Hors Station;FA16;Tr Péages
897;GF04;Produits Hors Station;FA16;Tr Péages
APCM;GF05;Frais de services;FA03;Abonnements
ASSU;GF05;Frais de services;FA03;Abonnements
DASF;GF05;Frais de services;FA03;Abonnements
DAS1;GF05;Frais de services;FA03;Abonnements
DAS2;GF05;Frais de services;FA03;Abonnements
DAS3;GF05;Frais de services;FA03;Abonnements
DOCU;GF05;Frais de services;FA03;Abonnements
ETAS;GF05;Frais de services;FA03;Abonnements
FPEN;GF05;Frais de services;FA03;Abonnements
GCOM;GF06;Frais en clientèle;FA07;GESTE COMMERCIAL
GMT;GF05;Frais de services;FA22;Frais à l acte
J100;GF01;Produits stations carburants;FA01;Transactions stations carburants
J110;GF01;Produits stations carburants;FA01;Transactions stations carburants
J120;GF01;Produits stations carburants;FA01;Transactions stations carburants
J200;GF01;Produits stations carburants;FA01;Transactions stations carburants
J210;GF01;Produits stations carburants;FA01;Transactions stations carburants
J220;GF01;Produits stations carburants;FA01;Transactions stations carburants
J230;GF01;Produits stations carburants;FA01;Transactions stations carburants
J240;GF01;Produits stations carburants;FA01;Transactions stations carburants
J300;GF01;Produits stations carburants;FA01;Transactions stations carburants
J350;;;;
J400;GF01;Produits stations carburants;FA01;Transactions stations carburants
J500;GF01;Produits stations carburants;FA01;Transactions stations carburants
